event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change,venue
match,10871.0,1990-05-18 08:40:00+00:00,1990,8,Sydney,Geelong,107.0,98.0,win,1480.8889713595547,1483.698468191697,2.809496832142244,S.C.G.
match,10871.0,1990-05-18 08:40:00+00:00,1990,8,Geelong,Sydney,98.0,107.0,loss,1502.8110862432482,1500.001589411106,-2.809496832142244,S.C.G.
match,10872.0,1990-05-19 03:10:00+00:00,1990,8,Carlton,Hawthorn,126.0,59.0,win,1495.4603178950656,1500.906391534423,5.44607363935734,Waverley Park
match,10872.0,1990-05-19 03:10:00+00:00,1990,8,Hawthorn,Carlton,59.0,126.0,loss,1516.1094530589532,1510.663379419596,-5.44607363935734,Waverley Park
match,10873.0,1990-05-19 03:10:00+00:00,1990,8,Melbourne,Richmond,133.0,80.0,win,1529.050045454575,1533.0757011627568,4.0256557081819375,M.C.G.
match,10873.0,1990-05-19 03:10:00+00:00,1990,8,Richmond,Melbourne,80.0,133.0,loss,1480.3880281685683,1476.3623724603865,-4.0256557081819375,M.C.G.
match,10874.0,1990-05-19 03:10:00+00:00,1990,8,St Kilda,North Melbourne,94.0,78.0,win,1509.4850838579332,1512.571483431813,3.0863995738797696,Moorabbin Oval
match,10874.0,1990-05-19 03:10:00+00:00,1990,8,North Melbourne,St Kilda,78.0,94.0,loss,1490.9457577118337,1487.859358137954,-3.0863995738797696,Moorabbin Oval
match,10875.0,1990-05-19 03:10:00+00:00,1990,8,Fitzroy,Collingwood,75.0,120.0,loss,1482.9879350613483,1476.8292233438356,-6.158711717512614,Princes Park
match,10875.0,1990-05-19 03:10:00+00:00,1990,8,Collingwood,Fitzroy,120.0,75.0,win,1502.818231487649,1508.9769432051617,6.158711717512614,Princes Park
match,10876.0,1990-05-20 03:10:00+00:00,1990,8,West Coast,Brisbane Lions,122.0,63.0,win,1516.6349999498625,1520.9885170939706,4.353517144108005,Subiaco
match,10876.0,1990-05-20 03:10:00+00:00,1990,8,Brisbane Lions,West Coast,63.0,122.0,loss,1481.4833132389506,1477.1297960948425,-4.353517144108005,Subiaco
match,10877.0,1990-05-20 03:10:00+00:00,1990,8,Western Bulldogs,Essendon,78.0,97.0,loss,1500.9209285815891,1496.0864409880426,-4.834487593546616,Western Oval
match,10877.0,1990-05-20 03:10:00+00:00,1990,8,Essendon,Western Bulldogs,97.0,78.0,win,1510.0158479308686,1514.8503355244152,4.834487593546616,Western Oval
match,10878.0,1990-05-26 03:10:00+00:00,1990,9,Carlton,Fitzroy,123.0,82.0,win,1500.906391534423,1505.0093400726107,4.1029485381878725,Princes Park
match,10878.0,1990-05-26 03:10:00+00:00,1990,9,Fitzroy,Carlton,82.0,123.0,loss,1476.8292233438356,1472.7262748056478,-4.1029485381878725,Princes Park
match,10879.0,1990-05-26 03:10:00+00:00,1990,9,Collingwood,North Melbourne,176.0,96.0,win,1508.9769432051617,1513.920294345934,4.943351140772306,Victoria Park
match,10879.0,1990-05-26 03:10:00+00:00,1990,9,North Melbourne,Collingwood,96.0,176.0,loss,1487.859358137954,1482.9160069971815,-4.943351140772306,Victoria Park
match,10880.0,1990-05-26 03:10:00+00:00,1990,9,Essendon,St Kilda,124.0,113.0,win,1514.8503355244152,1517.6737367257983,2.82340120138305,Windy Hill
match,10880.0,1990-05-26 03:10:00+00:00,1990,9,St Kilda,Essendon,113.0,124.0,loss,1512.571483431813,1509.7480822304299,-2.82340120138305,Windy Hill
match,10881.0,1990-05-26 03:10:00+00:00,1990,9,Hawthorn,Melbourne,92.0,48.0,win,1510.663379419596,1515.5603550246578,4.896975605062,Waverley Park
match,10881.0,1990-05-26 03:10:00+00:00,1990,9,Melbourne,Hawthorn,48.0,92.0,loss,1533.0757011627568,1528.1787255576949,-4.896975605062,Waverley Park
match,10882.0,1990-05-26 08:40:00+00:00,1990,9,Brisbane Lions,Western Bulldogs,56.0,125.0,loss,1477.1297960948425,1470.2185830095948,-6.911213085247804,Carrara
match,10882.0,1990-05-26 08:40:00+00:00,1990,9,Western Bulldogs,Brisbane Lions,125.0,56.0,win,1496.0864409880426,1502.9976540732903,6.911213085247804,Carrara
match,10883.0,1990-05-27 03:10:00+00:00,1990,9,Richmond,Sydney,139.0,60.0,win,1476.3623724603865,1481.7951236625108,5.4327512021244,M.C.G.
match,10883.0,1990-05-27 03:10:00+00:00,1990,9,Sydney,Richmond,60.0,139.0,loss,1483.698468191697,1478.2657169895726,-5.4327512021244,M.C.G.
match,10884.0,1990-05-27 03:10:00+00:00,1990,9,West Coast,Geelong,112.0,93.0,win,1520.9885170939706,1524.2426625941232,3.25414550015257,Subiaco
match,10884.0,1990-05-27 03:10:00+00:00,1990,9,Geelong,West Coast,93.0,112.0,loss,1500.001589411106,1496.7474439109533,-3.25414550015257,Subiaco
match,10885.0,1990-06-01 08:40:00+00:00,1990,10,North Melbourne,West Coast,118.0,90.0,win,1482.9160069971815,1487.4579173267607,4.54191032957912,M.C.G.
match,10885.0,1990-06-01 08:40:00+00:00,1990,10,West Coast,North Melbourne,90.0,118.0,loss,1524.2426625941232,1519.700752264544,-4.54191032957912,M.C.G.
match,10886.0,1990-06-02 03:10:00+00:00,1990,10,Collingwood,Melbourne,110.0,58.0,win,1513.920294345934,1518.9139551860037,4.9936608400696025,Waverley Park
match,10886.0,1990-06-02 03:10:00+00:00,1990,10,Melbourne,Collingwood,58.0,110.0,loss,1528.1787255576949,1523.1850647176252,-4.9936608400696025,Waverley Park
