event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change
match,49,2025-04-19T16:15:00,2025,6,Greater Western Sydney,Adelaide,34.0,52.0,loss,1545.9283426739748,1531.708584852672,-14.219757821302892
match,50,2025-04-19T19:35:00,2025,6,Richmond,Gold Coast,80.0,69.0,win,1453.6864580440638,1470.9193112889802,17.23285324491644
match,50,2025-04-19T19:35:00,2025,6,Gold Coast,Richmond,69.0,80.0,loss,1561.1532522997466,1543.92039905483,-17.23285324491644
match,51,2025-04-20T15:20:00,2025,6,Sydney,Port Adelaide,77.0,85.0,loss,1490.4430457073886,1472.7943778825284,-17.64866782486024
match,51,2025-04-20T15:20:00,2025,6,Port Adelaide,Sydney,85.0,77.0,win,1486.6466626964207,1504.295330521281,17.64866782486024
match,52,2025-04-20T19:20:00,2025,6,Western Bulldogs,St Kilda,127.0,56.0,win,1482.1451579263573,1496.117878226716,13.97272030035856
match,52,2025-04-20T19:20:00,2025,6,St Kilda,Western Bulldogs,56.0,127.0,loss,1511.8914907443984,1497.9187704440399,-13.97272030035856
match,53,2025-04-21T15:20:00,2025,6,Geelong,Hawthorn,86.0,79.0,win,1518.1069762160282,1531.378561321783,13.271585105754866
match,53,2025-04-21T15:20:00,2025,6,Hawthorn,Geelong,79.0,86.0,loss,1540.859778943892,1527.5881938381372,-13.271585105754866
match,54,2025-04-24T19:30:00,2025,7,Melbourne,Richmond,83.0,63.0,win,1444.2445562213793,1457.765125183963,13.520568962583638
match,54,2025-04-24T19:30:00,2025,7,Richmond,Melbourne,63.0,83.0,loss,1470.9193112889802,1457.3987423263966,-13.520568962583638
match,55,2025-04-25T15:20:00,2025,7,Collingwood,Essendon,107.0,66.0,win,1559.4741548754462,1570.2213002951694,10.74714541972321
match,55,2025-04-25T15:20:00,2025,7,Essendon,Collingwood,66.0,107.0,loss,1515.6594366381585,1504.9122912184353,-10.74714541972321
match,56,2025-04-25T20:10:00,2025,7,Fremantle,Adelaide,85.0,67.0,win,1500.45766792123,1514.1252828061115,13.66761488488146
match,56,2025-04-25T20:10:00,2025,7,Adelaide,Fremantle,67.0,85.0,loss,1523.8685509055192,1510.2009360206378,-13.66761488488146
match,57,2025-04-26T13:20:00,2025,7,St Kilda,Brisbane Lions,73.0,118.0,loss,1497.9187704440399,1482.4602810660758,-15.458489377964042
match,57,2025-04-26T13:20:00,2025,7,Brisbane Lions,St Kilda,118.0,73.0,win,1550.8580333745979,1566.316522752562,15.458489377964042
match,58,2025-04-26T16:15:00,2025,7,Port Adelaide,North Melbourne,97.0,88.0,win,1504.295330521281,1514.2344742864802,9.939143765199333
match,58,2025-04-26T16:15:00,2025,7,North Melbourne,Port Adelaide,88.0,97.0,loss,1437.8126527356017,1427.8735089704023,-9.939143765199333
match,59,2025-04-26T19:35:00,2025,7,Greater Western Sydney,Western Bulldogs,81.0,113.0,loss,1531.708584852672,1512.6017705498828,-19.10681430278919
match,59,2025-04-26T19:35:00,2025,7,Western Bulldogs,Greater Western Sydney,113.0,81.0,win,1496.117878226716,1515.224692529505,19.10681430278919
match,60,2025-04-27T13:15:00,2025,7,Gold Coast,Sydney,117.0,79.0,win,1543.92039905483,1553.8657160864177,9.945317031587592
match,60,2025-04-27T13:15:00,2025,7,Sydney,Gold Coast,79.0,117.0,loss,1472.7943778825284,1462.8490608509408,-9.945317031587592
match,61,2025-04-27T15:20:00,2025,7,Carlton,Geelong,94.0,76.0,win,1475.9900356710168,1490.731597052123,14.741561381106294
match,61,2025-04-27T15:20:00,2025,7,Geelong,Carlton,76.0,94.0,loss,1531.378561321783,1516.6369999406768,-14.741561381106294
match,62,2025-04-27T16:45:00,2025,7,Hawthorn,West Coast,124.0,74.0,win,1527.5881938381372,1536.1118421547792,8.523648316642038
match,62,2025-04-27T16:45:00,2025,7,West Coast,Hawthorn,74.0,124.0,loss,1414.993504226083,1406.4698559094409,-8.523648316642038
match,63,2025-05-01T19:30:00,2025,8,Essendon,North Melbourne,65.0,62.0,win,1504.9122912184353,1514.1558419762437,9.243550757808407
match,63,2025-05-01T19:30:00,2025,8,North Melbourne,Essendon,62.0,65.0,loss,1427.8735089704023,1418.629958212594,-9.243550757808407
match,64,2025-05-02T19:40:00,2025,8,St Kilda,Fremantle,94.0,33.0,win,1482.4602810660758,1496.7522837622626,14.292002696186728
match,64,2025-05-02T19:40:00,2025,8,Fremantle,St Kilda,33.0,94.0,loss,1514.1252828061115,1499.8332801099248,-14.292002696186728
match,65,2025-05-03T13:20:00,2025,8,Western Bulldogs,Port Adelaide,131.0,41.0,win,1515.224692529505,1528.3104092378865,13.08571670838137
match,65,2025-05-03T13:20:00,2025,8,Port Adelaide,Western Bulldogs,41.0,131.0,loss,1514.2344742864802,1501.1487575780989,-13.08571670838137
match,66,2025-05-03T16:15:00,2025,8,Adelaide,Carlton,110.0,50.0,win,1510.2009360206378,1522.3293611990048,12.128425178367024
match,66,2025-05-03T16:15:00,2025,8,Carlton,Adelaide,50.0,110.0,loss,1490.731597052123,1478.603171873756,-12.128425178367024
match,67,2025-05-03T19:35:00,2025,8,Collingwood,Geelong,87.0,90.0,loss,1570.2213002951694,1550.3112312527626,-19.910069042406803
match,67,2025-05-03T19:35:00,2025,8,Geelong,Collingwood,90.0,87.0,win,1516.6369999406768,1536.5470689830836,19.910069042406803
match,68,2025-05-03T19:35:00,2025,8,West Coast,Melbourne,76.0,108.0,loss,1406.4698559094409,1391.0222116848358,-15.447644224605028
match,68,2025-05-03T19:35:00,2025,8,Melbourne,West Coast,108.0,76.0,win,1457.765125183963,1473.212769408568,15.447644224605028
