event,date,year,round,team,opponent,standard_rating_before,standard_rating_after,standard_rating_change,margin_rating_before,margin_rating_after,margin_rating_change,margin_error,match_id,score,opponent_score,result
match,2025-05-15T19:30:00,2025,10,Hawthorn,Gold Coast,1604.0664052964835,1594.0383143438648,-10.028090952618735,1596.7358084283476,1594.4619836149996,-2.2738248133480794,4.277549943243868,81.0,96.0,104.0,loss
match,2025-05-16T19:40:00,2025,10,Sydney,Carlton,1540.091375270586,1550.1049378743385,10.013562603752444,1520.7071468129625,1524.1391647945059,3.432017981543416,-6.456358570802372,82.0,78.0,62.0,win
match,2025-05-16T19:40:00,2025,10,Carlton,Sydney,1515.059483938707,1505.0459213349545,-10.013562603752444,1537.019899681114,1533.5878816995707,-3.432017981543416,6.456358570802372,82.0,62.0,78.0,loss
match,2025-05-17T13:20:00,2025,10,Collingwood,Adelaide,1619.3286070533704,1625.8412499243404,6.512642870969925,1594.9969324464116,1591.8227677026719,-3.174164743739807,5.971281577949963,83.0,78.0,68.0,win
match,2025-05-17T13:20:00,2025,10,Adelaide,Collingwood,1536.5447694838692,1530.0321266128992,-6.512642870969925,1575.8248373658723,1578.999002109612,3.174164743739807,-5.971281577949963,83.0,68.0,78.0,loss
match,2025-05-17T16:15:00,2025,10,Greater Western Sydney,Fremantle,1543.2718359655682,1519.7489271504344,-23.522908815133924,1570.3969783195012,1537.6337267081612,-32.76325161133996,61.63467134665228,84.0,61.0,95.0,loss
match,2025-05-17T16:15:00,2025,10,Fremantle,Greater Western Sydney,1501.7462585918845,1525.2691674070184,23.522908815133924,1486.8352156579203,1519.5984672692603,32.76325161133996,-61.63467134665228,84.0,95.0,61.0,win
match,2025-05-17T16:15:00,2025,10,Port Adelaide,Geelong,1510.0649843528317,1486.977317282768,-23.08766707006389,1466.5081286145057,1430.760122979145,-35.74800563536073,67.24963092097745,85.0,39.0,115.0,loss
match,2025-05-17T16:15:00,2025,10,Geelong,Port Adelaide,1575.932122158207,1599.0197892282708,23.08766707006389,1583.8159848538307,1619.5639904891914,35.74800563536073,-67.24963092097745,85.0,115.0,39.0,win
match,2025-05-17T19:35:00,2025,10,Western Bulldogs,Essendon,1578.5409706002617,1591.3547970644195,12.813826464157776,1610.4152177631424,1636.2937130094351,25.878495246292598,-48.682974705083446,86.0,127.0,36.0,win
match,2025-05-17T19:35:00,2025,10,Essendon,Western Bulldogs,1477.0723086980202,1464.2584822338624,-12.813826464157776,1445.7970976631088,1419.9186024168162,-25.878495246292598,48.682974705083446,86.0,36.0,127.0,loss
match,2025-05-18T13:10:00,2025,10,Richmond,North Melbourne,1327.0272489327301,1318.3605930013869,-8.666655931343188,1322.5544589672281,1319.5458232107987,-3.0086357564294137,5.65988621181698,87.0,74.0,78.0,loss
match,2025-05-18T13:10:00,2025,10,North Melbourne,Richmond,1292.6446871524763,1301.3113430838196,8.666655931343188,1382.3907832673856,1385.399419023815,3.0086357564294137,-5.65988621181698,87.0,78.0,74.0,win
match,2025-05-18T15:20:00,2025,10,Brisbane Lions,Melbourne,1656.3053847939673,1636.9779932615534,-19.327391532413884,1562.4628362512588,1535.1994430626116,-27.26339318864718,51.28826341507631,88.0,88.0,99.0,loss
match,2025-05-18T15:20:00,2025,10,Melbourne,Brisbane Lions,1442.5008759870095,1461.8282675194234,19.327391532413884,1409.0448308378268,1436.308224026474,27.26339318864718,-51.28826341507631,88.0,99.0,88.0,win
match,2025-05-18T16:40:00,2025,10,West Coast,St Kilda,1275.2305570690366,1298.0544584056684,22.823901336631696,1307.6809581488496,1332.381143611713,24.700185462863328,-46.4663224293041,89.0,108.0,80.0,win
match,2025-05-18T16:40:00,2025,10,St Kilda,West Coast,1473.5118104985233,1450.6879091618916,-22.823901336631696,1478.6273379104098,1453.9271524475464,-24.700185462863328,46.4663224293041,89.0,80.0,108.0,loss
match,2025-05-22T19:30:00,2025,11,Geelong,Western Bulldogs,1599.0197892282708,1609.09314820363,10.073358975359303,1619.5639904891914,1621.9730139435346,2.409023454343349,-4.531887452325943,90.0,127.0,113.0,win
match,2025-05-22T19:30:00,2025,11,Western Bulldogs,Geelong,1591.3547970644195,1581.2814380890602,-10.073358975359303,1636.2937130094351,1633.8846895550919,-2.409023454343349,4.531887452325943,90.0,113.0,127.0,loss
match,2025-05-23T19:40:00,2025,11,Essendon,Richmond,1464.2584822338624,1471.3138558937478,7.05537365988545,1419.9186024168162,1415.8362489243277,-4.082353492488408,7.6797785157347676,91.0,81.0,58.0,win
match,2025-05-23T19:40:00,2025,11,Richmond,Essendon,1318.3605930013869,1311.3052193415015,-7.05537365988545,1319.5458232107987,1323.6281767032872,4.082353492488408,-7.6797785157347676,91.0,58.0,81.0,loss
match,2025-05-24T12:35:00,2025,11,Carlton,Greater Western Sydney,1505.0459213349545,1485.6024225966964,-19.443498738258043,1533.5878816995707,1512.4495900645222,-21.13829163504856,39.76563966273013,92.0,82.0,110.0,loss
match,2025-05-24T12:35:00,2025,11,Greater Western Sydney,Carlton,1519.7489271504344,1539.1924258886925,19.443498738258043,1537.6337267081612,1558.7720183432098,21.13829163504856,-39.76563966273013,92.0,110.0,82.0,win
match,2025-05-24T16:15:00,2025,11,Hawthorn,Brisbane Lions,1594.0383143438648,1574.8966293088488,-19.141685035015996,1594.4619836149996,1564.5700184015686,-29.891965213430844,56.23316860276746,93.0,60.0,93.0,loss
match,2025-05-24T16:15:00,2025,11,Brisbane Lions,Hawthorn,1636.9779932615534,1656.1196782965694,19.141685035015996,1535.1994430626116,1565.0914082760426,29.891965213430844,-56.23316860276746,93.0,93.0,60.0,win
match,2025-05-24T19:35:00,2025,11,North Melbourne,Collingwood,1301.3113430838196,1293.9613976598496,-7.349945423969928,1385.399419023815,1374.7108583822958,-10.68856064151909,20.107464610770627,94.0,63.0,108.0,loss
match,2025-05-24T19:35:00,2025,11,Collingwood,North Melbourne,1625.8412499243404,1633.1911953483104,7.349945423969928,1591.8227677026719,1602.511328344191,10.68856064151909,-20.107464610770627,94.0,108.0,63.0,win
match,2025-05-24T20:10:00,2025,11,Fremantle,Port Adelaide,1525.2691674070184,1539.415518710988,14.146351303969533,1519.5984672692603,1530.4476033671701,10.849136097909868,-20.409541327648107,95.0,100.0,51.0,win
